,Department,Course,Section,Instructor,Time
3719,MCRO,221,05,"Jew, Kara Lynn",TR 03:10 PM - 04:30 PM
3726,MCRO,221,06,"Myers, Spencer Gabriel Majoulet",TR 04:40 PM - 06:00 PM
3645,MCRO,224,01,"Yeung, Po Sai Marie",MWF 10:10 AM - 11:00 AM
3642,MCRO,224,02,"Yep-Rodriguez, Alejandra",MW 12:10 PM - 03:00 PM
3643,MCRO,224,03,"Yep-Rodriguez, Alejandra",MW 03:10 PM - 06:00 PM
3682,MCRO,224,04,"Noel, Eric A.",TR 08:10 AM - 11:00 AM
3683,MCRO,224,05,"Noel, Eric A.",TR 12:10 PM - 03:00 PM
3678,MCRO,224,06,"Neal, Emily Ruth",TR 03:10 PM - 06:00 PM
3564,MCRO,320,01,"Fidopiastis, Pat M.",TR 04:40 PM - 06:00 PM
3601,MCRO,342,01,"Martinez, Nathaniel W.",TR 12:10 PM - 01:30 PM
3602,MCRO,342,02,"Martinez, Nathaniel W.",M 12:10 PM - 03:00 PM
3555,MCRO,402,01,"Black, Michael W.",TR 03:10 PM - 04:30 PM
3556,MCRO,402,02,"Black, Michael W.",M 12:10 PM - 03:00 PM
3557,MCRO,402,03,"Black, Michael W.",M 03:10 PM - 06:00 PM
3646,MCRO,421,01,"Yeung, Po Sai Marie",TR 03:10 PM - 04:30 PM
3647,MCRO,421,02,"Yeung, Po Sai Marie",W 12:10 PM - 03:00 PM
3565,MCRO,424,01,"Fidopiastis, Pat M.",TR 09:40 AM - 11:00 AM
3566,MCRO,424,02,"Fidopiastis, Pat M.",WF 12:10 PM - 03:00 PM
3648,MCRO,P421,01,"Yeung, Po Sai Marie",TR 03:10 PM - 04:30 PM
3649,MCRO,P421,03,"Yeung, Po Sai Marie",M 12:10 PM - 03:00 PM
2629,ME,129,01,"Larson, John C.",M 08:10 AM - 11:00 AM
2630,ME,129,02,"Larson, John C.",M 12:10 PM - 03:00 PM
2631,ME,129,03,"Larson, John C.",M 03:10 PM - 06:00 PM
2632,ME,129,04,"Larson, John C.",W 08:10 AM - 11:00 AM
2633,ME,129,05,"Larson, John C.",W 12:10 PM - 03:00 PM
2672,ME,129,06,"Espinosa III, Victor Eduardo",W 03:10 PM - 06:00 PM
3097,ME,129,09,"McFarland, Marshall L.",F 08:10 AM - 11:00 AM
2673,ME,129,10,"Espinosa III, Victor Eduardo",F 12:10 PM - 03:00 PM
2565,ME,163,01,"Peuker, Steffen",F 03:10 PM - 05:00 PM
2637,ME,211,01,"Leitzell, Ashley Marie",TR 09:40 AM - 11:00 AM
2638,ME,211,02,"Leitzell, Ashley Marie",TR 12:10 PM - 01:30 PM
2649,ME,211,03,"Niebuhr, David V.",MWF 09:10 AM - 10:00 AM
2650,ME,211,04,"Niebuhr, David V.",MWF 10:10 AM - 11:00 AM
2553,ME,211,05,"Noori, Mohammad",MWF 03:10 PM - 04:00 PM
2554,ME,211,06,"Noori, Mohammad",MWF 01:10 PM - 02:00 PM
2555,ME,211,07,"Noori, Mohammad",MWF 02:10 PM - 03:00 PM
2489,ME,212,02,"Birdsong, Charles B.",MWF 08:10 AM - 09:00 AM
2490,ME,212,03,"Birdsong, Charles B.",MWF 09:10 AM - 10:00 AM
2783,ME,212,04,"Guyader, Andrew C.",MWF 10:10 AM - 11:00 AM
2542,ME,212,05,"Murray, William R.",MWF 03:10 PM - 04:00 PM
2543,ME,212,06,"Murray, William R.",MWF 04:10 PM - 05:00 PM
2509,ME,212,07,"Klisch, Stephen M.",MWF 01:10 PM - 02:00 PM
2618,ME,212,08,"Keller, Melinda E.",MWF 02:10 PM - 03:00 PM
2609,ME,212,09,"Fabijanic, John G.",MWF 08:10 AM - 09:00 AM
2610,ME,212,10,"Fabijanic, John G.",MWF 09:10 AM - 10:00 AM
2619,ME,212,11,"Keller, Melinda E.",MWF 11:10 AM - 12:00 PM
2620,ME,212,12,"Keller, Melinda E.",MWF 12:10 PM - 01:00 PM
2623,ME,212,13,"Kennedy, Jane E.",MWF 01:10 PM - 02:00 PM
2784,ME,212,14,"Guyader, Andrew C.",MWF 02:10 PM - 03:00 PM
2785,ME,212,15,"Guyader, Andrew C.",MWF 11:10 AM - 12:00 PM
2582,ME,212,70,"Self, Brian P.",MWF 05:10 PM - 06:00 PM
2639,ME,228,01,"Leitzell, Ashley Marie",MW 08:10 AM - 11:00 AM
2640,ME,228,02,"Leitzell, Ashley Marie",MW 12:10 PM - 03:00 PM
2613,ME,229,01,"Harding, Sarah T.",M 11:10 AM - 12:00 PM
2614,ME,229,02,"Harding, Sarah T.",M 12:10 PM - 03:00 PM
2615,ME,229,03,"Harding, Sarah T.",W 08:10 AM - 11:00 AM
2550,ME,234,01,"Niku, Saeed",TR 08:10 AM - 09:30 AM
2551,ME,234,02,"Niku, Saeed",TR 09:40 AM - 11:00 AM
2552,ME,234,03,"Niku, Saeed",TR 12:10 PM - 01:30 PM
2589,ME,236,01,"Thorncroft, Glen E.",MW 10:10 AM - 11:00 AM
2590,ME,236,02,"Thorncroft, Glen E.",MW 11:10 AM - 12:00 PM
2591,ME,236,03,"Thorncroft, Glen E.",MW 09:10 AM - 10:00 AM
2665,ME,236,04,"Ridgely, Pam Sirivedhin",W 12:10 PM - 03:00 PM
2592,ME,236,05,"Thorncroft, Glen E.",W 03:10 PM - 06:00 PM
2593,ME,236,06,"Thorncroft, Glen E.",F 08:10 AM - 11:00 AM
2594,ME,236,07,"Thorncroft, Glen E.",F 12:10 PM - 03:00 PM
2666,ME,236,08,"Ridgely, Pam Sirivedhin",T 08:10 AM - 11:00 AM
2667,ME,236,09,"Ridgely, Pam Sirivedhin",T 12:10 PM - 03:00 PM
2634,ME,251,01,"Larson, John C.",T 07:10 AM - 08:00 AM
2635,ME,251,02,"Larson, John C.",T 08:10 AM - 11:00 AM
2636,ME,251,03,"Larson, John C.",T 12:10 PM - 03:00 PM
2674,ME,251,04,"Nagaoka, Eric Koji",W 03:10 PM - 06:00 PM
2504,ME,302,01,"Kean, Andrew J.",MWF 02:10 PM - 03:00 PM
2505,ME,302,02,"Kean, Andrew J.",MWF 03:10 PM - 04:00 PM
2506,ME,302,03,"Kean, Andrew J.",MWF 04:10 PM - 05:00 PM
2521,ME,302,04,"Maddren, Jesse",MWF 02:10 PM - 03:00 PM
2522,ME,302,06,"Maddren, Jesse",MWF 03:10 PM - 04:00 PM
2491,ME,302,07,"Chen, John C.",MWF 09:10 AM - 10:00 AM
2647,ME,302,08,"Mullisen, Ronald S.",MWF 08:10 AM - 09:00 AM
2648,ME,302,09,"Mullisen, Ronald S.",MWF 09:10 AM - 10:00 AM
2515,ME,303,01,"Locascio, James G.",MWF 02:10 PM - 03:00 PM
2516,ME,303,02,"Locascio, James G.",MWF 11:10 AM - 12:00 PM
2517,ME,303,03,"Locascio, James G.",MWF 12:10 PM - 01:00 PM
2518,ME,303,04,"Locascio, James G.",MWF 09:10 AM - 10:00 AM
2544,ME,305,01,"Murray, William R.",MWF 01:10 PM - 02:00 PM
2545,ME,305,02,"Murray, William R.",R 08:10 AM - 11:00 AM
2546,ME,305,03,"Murray, William R.",R 12:10 PM - 03:00 PM
2547,ME,305,04,"Murray, William R.",R 03:10 PM - 06:00 PM
2569,ME,318,01,"Porumamilla, Hemanth V K",MWF 08:10 AM - 09:00 AM
2570,ME,318,02,"Porumamilla, Hemanth V K",MWF 09:10 AM - 10:00 AM
2571,ME,318,03,"Porumamilla, Hemanth V K",T 08:10 AM - 11:00 AM
2572,ME,318,04,"Porumamilla, Hemanth V K",T 12:10 PM - 03:00 PM
2573,ME,318,05,"Porumamilla, Hemanth V K",R 08:10 AM - 11:00 AM
2501,ME,318,06,"Elghandour, Eltahry I.",R 12:10 PM - 03:00 PM
3435,ME,318,07,"Meagher, James M.",T 03:10 PM - 06:00 PM
2670,ME,326,01,"Rossman, Eileen",MWF 08:10 AM - 09:00 AM
2671,ME,326,02,"Rossman, Eileen",MWF 09:10 AM - 10:00 AM
2527,ME,326,03,"Mase, George T.",M 06:10 PM - 08:00 PM
2528,ME,326,04,"Mase, George T.",T 06:10 PM - 08:00 PM
2529,ME,326,05,"Mase, George T.",W 06:10 PM - 08:00 PM
2599,ME,328,01,"Brouwers, Kevin Petrus",MWF 10:10 AM - 11:00 AM
2600,ME,328,02,"Brouwers, Kevin Petrus",MWF 11:10 AM - 12:00 PM
2524,ME,328,03,"Mahadev, Sthanu",T 08:10 AM - 11:00 AM
2601,ME,328,04,"Brouwers, Kevin Petrus",T 12:10 PM - 03:00 PM
2602,ME,328,05,"Brouwers, Kevin Petrus",T 03:10 PM - 06:00 PM
2530,ME,328,06,"Mase, George T.",MW 07:40 AM - 09:00 AM
2603,ME,328,07,"Brouwers, Kevin Petrus",M 03:10 PM - 06:00 PM
2531,ME,328,08,"Mase, George T.",T 03:10 PM - 06:00 PM
2532,ME,328,09,"Mase, George T.",TR 07:40 AM - 09:00 AM
2525,ME,328,10,"Mahadev, Sthanu",TR 01:40 PM - 03:00 PM
2604,ME,328,11,"Brouwers, Kevin Petrus",W 03:10 PM - 06:00 PM
2526,ME,328,12,"Mahadev, Sthanu",R 03:10 PM - 06:00 PM
2537,ME,329,01,"Mello, Joseph D.",MWF 02:10 PM - 03:00 PM
2538,ME,329,02,"Mello, Joseph D.",MWF 03:10 PM - 04:00 PM
2539,ME,329,03,"Mello, Joseph D.",R 08:10 AM - 11:00 AM
2540,ME,329,04,"Mello, Joseph D.",R 12:10 PM - 03:00 PM
2541,ME,329,05,"Mello, Joseph D.",R 03:10 PM - 06:00 PM
2621,ME,341,01,"Keller, Melinda E.",MWF 08:10 AM - 09:00 AM
2622,ME,341,02,"Keller, Melinda E.",MWF 09:10 AM - 10:00 AM
2624,ME,341,03,"Kennedy, Jane E.",MWF 03:10 PM - 04:00 PM
2642,ME,341,04,"Mayer, Hans C.",MWF 12:10 PM - 01:00 PM
2643,ME,341,05,"Mayer, Hans C.",MWF 01:10 PM - 02:00 PM
2644,ME,347,01,"Mayer, Hans C.",MWF 02:10 PM - 03:00 PM
2587,ME,347,02,"Shollenberger, Kim A.",MWF 04:10 PM - 05:00 PM
2588,ME,347,03,"Shollenberger, Kim A.",MWF 03:10 PM - 04:00 PM
2625,ME,347,04,"Kennedy, Jane E.",T 08:10 AM - 11:00 AM
2626,ME,347,05,"Kennedy, Jane E.",T 12:10 PM - 03:00 PM
2645,ME,347,06,"Mayer, Hans C.",T 03:10 PM - 06:00 PM
2627,ME,347,07,"Kennedy, Jane E.",R 08:10 AM - 11:00 AM
2628,ME,347,08,"Kennedy, Jane E.",R 12:10 PM - 03:00 PM
